Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-19,BOX Options (B),2811626,330585,1553783747.500000,0,0,0.000000,2811626,330585,1553783747.500000
2025-05-19,Cboe Options Exchange (C),4018596,671356,1430192364.000000,4304351,957287,16883185988.000000,8322947,1628643,18313378352.000000
2025-05-19,MIAX Emerald (D),1849648,334448,577082348.000000,0,0,0.000000,1849648,334448,577082348.000000
2025-05-19,Cboe EDGX Options Exchange (E),2928856,513452,646864916.000000,0,0,0.000000,2928856,513452,646864916.000000
2025-05-19,Nasdaq GEMX (H),1598820,208439,381688817.000000,99,79,3883420.000000,1598919,208518,385572237.000000
2025-05-19,Nasdaq ISE (I),2706859,421212,1058045325.000000,23652,10439,127443002.000000,2730511,431651,1185488327.000000
2025-05-19,Nasdaq MRX (J),1357483,199915,345162025.000000,0,0,0.000000,1357483,199915,345162025.000000
2025-05-19,MIAX Options Exchange (M),3700675,607237,1041494859.000000,0,0,0.000000,3700675,607237,1041494859.000000
2025-05-19,NYSE Arca Options (N),4877561,655011,1959636358.000000,0,0,0.000000,4877561,655011,1959636358.000000
2025-05-19,MIAX Pearl (P),708631,97489,160008219.000000,0,0,0.000000,708631,97489,160008219.000000
2025-05-19,NASDAQ Options Market (Q),1970024,292255,646614745.000000,0,0,0.000000,1970024,292255,646614745.000000
2025-05-19,MIAX Sapphire (S),1504803,224050,430109582.000000,0,0,0.000000,1504803,224050,430109582.000000
2025-05-19,Nasdaq BX Options (T),763009,87947,153597839.000000,0,0,0.000000,763009,87947,153597839.000000
2025-05-19,Members Exchange (U),1527594,220238,407227721.000000,0,0,0.000000,1527594,220238,407227721.000000
2025-05-19,Cboe C2 Options Exchange (W),1286554,167226,337556663.000000,9464,2104,15738688.000000,1296018,169330,353295351.000000
